id;active;lan_id;pwp_id
1;false;Metrics wireless National;Soft driver
2;true;plum non-volatile lime;e-business Maine loyalty
3;true;Island synthesizing Peru;Fresh Interactions
4;true;array users;systems Keyboard Advanced
5;true;24/7 Legacy enterprise;Manager Granite generating
6;true;Creative Markets;relationships connecting Rustic
7;true;hacking redefine;Shirt
8;false;Berkshire alarm;Islands e-business
9;false;strategy Krone;visionary digital index
10;true;invoice Investment Chicken;synthesizing
