id;task;required_to_complete;date_created;date_cancelled;date_completed;sequence_order
1;indexing Antillian multi-byte;false;2021-09-07;2021-09-06;2021-09-07;99861
2;Identity Home models;true;2021-09-07;2021-09-07;2021-09-07;19188
3;Small;false;2021-09-06;2021-09-07;2021-09-07;33288
4;Markets;true;2021-09-07;2021-09-06;2021-09-06;68962
5;JSON Handmade;false;2021-09-07;2021-09-07;2021-09-07;37646
6;synergy;false;2021-09-07;2021-09-06;2021-09-07;39721
7;Fords;false;2021-09-07;2021-09-07;2021-09-07;95966
8;generate Profound;true;2021-09-07;2021-09-06;2021-09-07;53360
9;Macedonia;true;2021-09-06;2021-09-07;2021-09-07;21608
10;Kansas Frozen;true;2021-09-07;2021-09-06;2021-09-07;78784
