id;task;required_to_complete;date_created;date_cancelled;date_completed;sequence_order
1;Creative Kansas;false;2021-09-07;2021-09-06;2021-09-07;11981
2;Rapids withdrawal;true;2021-09-07;2021-09-07;2021-09-07;75452
3;Small withdrawal;false;2021-09-07;2021-09-07;2021-09-06;79280
4;Integration array revolutionary;false;2021-09-07;2021-09-06;2021-09-07;84425
5;France blue Alabama;false;2021-09-07;2021-09-07;2021-09-07;21183
6;AGP;false;2021-09-07;2021-09-07;2021-09-07;4395
7;magenta Bike;false;2021-09-07;2021-09-06;2021-09-07;40752
8;Engineer;true;2021-09-07;2021-09-07;2021-09-07;65154
9;wireless;false;2021-09-07;2021-09-07;2021-09-07;66201
10;Tala Estonia;true;2021-09-07;2021-09-06;2021-09-07;54488
